ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GeographicAreaCoordinationCenterCode,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsReimbursable,IsTrespass,IsUnifiedCommand,LocalIncidentIdentifier,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime,ModifiedOnDateTime,Source
,DEFAULT,,,,324,1,KYKIC,,,,,,,Unknown,,,,,"1/23/2021, 6:09 PM",,,,,,,,,SACC,,,,,,Walker Br N  RX LON,,RX,FI,36.946,-84.257,324,,,0,0,0,0,0,,210099,,,,Whitley,KYKIC,21235,FS,KYDBF,,,,,,,,,SA27,FS,KYDBF,US-KY,,,,,,2021-KYDBF-210099,No Decision,wildcad,wildcad,0,,,"1/23/2021, 6:11 PM","12/9/2021, 6:22 PM",IRWIN
,DEFAULT,,,,18,1,SDGPC,,,,,,,Human,,,,,"2/16/2021, 6:18 PM",,,,,,,,,RMCC,,,,,,WIlsons Corner PB,,RX,FI,43.76278,-103.4538,,,,0,0,0,0,0,,210107,,,,Custer,SDGPC,46033,DWF,SDSDS,,,,,,,,,RM50,DWF,SDSDS,US-SD,,,,,,2021-SDSDS-210107,No Decision,wildcad,wildcad,0,,,"2/17/2021, 8:57 PM","12/10/2021, 9:10 PM",IRWIN
,DEFAULT,,,,10,1,SDGPC,,,,,,,Human,,,,,"1/22/2021, 7:36 PM",,,,,,,,,RMCC,,,,,,Legion Lake PB,,RX,FI,43.7611,-103.4674,,,,0,0,0,0,0,,210052,,,,Custer,SDGPC,46033,DWF,SDSDS,,,,,,,,,RM50,DWF,SDSDS,US-SD,,,,,,2021-SDSDS-210052,No Decision,wildcad,wildcad,0,,,"2/17/2021, 8:57 PM","12/10/2021, 9:09 PM",IRWIN
,DEFAULT,,,,156,1,UTRFC,,,,,,,Undetermined,Debris/Open Burning,Broadcast/Prescribed Burn,,,"2/9/2021, 12:38 AM",,,,,,,,,GBCC,,,,,,Fremont River Piles,,RX,FI,38.21304,-111.4088,,,,0,0,0,0,0,,210015,,,,Wayne,UTRFC,49055,FS,UTFIF,,,,,,,,,GB28,FS,UTFIF,US-UT,,,,,,2021-UTFIF-210015,No Decision,wildcad,wildcad,0,,,"2/9/2021, 12:40 AM","12/9/2021, 9:56 PM",IRWIN
,DEFAULT,,,,19.25,1,COPBC,,,,,,,Unknown,,,,,"1/14/2021, 6:35 PM",,,,,,,,,RMCC,,,,,,Bear Johns Piles - Saguache RD,,RX,FI,37.96474,-106.6391,6,,,0,0,0,0,0,,000036,,,,Saguache,COPBC,08109,FS,CORGF,,,,,,,,,RM38,FS,CORGF,US-CO,,,,,,2021-CORGF-000036,No Decision,wildcad,wildcad,0,,,"1/19/2021, 10:46 PM","12/9/2021, 10:27 PM",IRWIN
,DEFAULT,,,,966,1,NMSFC,,,,,,,Unknown,,,,,"4/10/2021, 5:44 PM",,,,,,,,,SWCC,,,,,,Oso 4 RX,,RX,FI,36.35195,-106.9621,966,,,0,0,0,0,0,,000046,,,,Rio Arriba,NMSFC,35039,FS,NMSNF,,,,,,,,,SW07,FS,NMSNF,US-NM,,,,,,2021-NMSNF-000046,No Decision,wildcad,wildcad,0,,,"4/21/2021, 5:22 PM","12/7/2021, 12:04 AM",IRWIN
,DEFAULT,,,,1,1,KYKIC,,,,,,,Undetermined,Undetermined,,N0U9,,"5/15/2021, 9:58 PM",,,,,,,P8,0802,SACC,,,,,,Oneida School,,WF,FI,37.27913,-83.656635,,,,0,0,0,0,0,,210186,,,,Clay,KYKIC,21051,,,Private,Private,,,,,,,SA27,DVF,KYKYS,US-KY,,,,,,2021-KYKYS-210186,No Decision,wildcad,INFORM_Inspector,0,,,"5/15/2021, 11:33 PM","12/12/2021, 6:30 PM",IRWIN
,DEFAULT,,,,,,CACCCC,,,,,,,,,,N08K,,"4/4/2021, 8:42 AM",,,,,,,,,OSCC,,,,,,CANEBRAKE,,WF,FI,,,,,,0,0,0,0,0,,000669,,,,Kern,CACCCC,06029,,,Private,Private,,,,,,,SC03,BLM,CACND,US-CA,,,,,,2021-CACND-000669,No Decision,firecode,IROC,0,,,"5/22/2021, 12:46 AM","12/11/2021, 11:43 PM",IRWIN
,DEFAULT,,,,25,1,MNMNCC,,,,,,,Human,,,,,"4/7/2021, 11:18 PM",,,,,,,,,EACC,,,,,,Girl Scout Camp PB,,RX,FI,47.97597,-91.53809,,,,0,0,0,0,0,,000104,,,,Lake,MNMNCC,27075,FS,MNSUF,USFS,Federal,,,,,,,EA03,FS,MNSUF,US-MN,,,,,,2021-MNSUF-000104,No Decision,wildcad,wildcad,0,,,"5/25/2021, 12:31 AM","12/8/2021, 8:19 PM",IRWIN
,DEFAULT,,,,1,1,CASICC,,,,,,,Undetermined,,,N14C,,"6/4/2021, 10:24 PM",,,,,,,PN,1522,OSCC,,,,,,SANDY COW,,WF,FI,37.18592,-120.6443,,,,0,0,0,0,0,,000486,,,,Merced,CAMMCC,06047,FWS,CAMCR,USFWS,Federal,,,,,,,SC05,FWS,CALUR,US-CA,,,,,,2021-CALUR-000486,No Decision,wildcad,wildcad,0,,,"6/4/2021, 10:25 PM","12/13/2021, 2:06 AM",IRWIN
,DEFAULT,171.3668,,,175,175,CASICC,,,,,,,Undetermined,,,N2U1,,"6/10/2021, 9:53 PM",,,,,,,PR,,OSCC,,,,,,TURKEY,,WF,FI,35.91182,-119.4151,,,,0,0,0,0,0,,000556,,,,Tulare,CATUCC,06107,FWS,CAPLR,USFWS,Federal,,,,,,,SC05,FWS,CALUR,US-CA,,,,,,2021-CALUR-000556,No Decision,wildcad,wildcad,0,,,"6/14/2021, 11:05 PM","12/13/2021, 2:06 AM",IRWIN
,DEFAULT,,,,20,20,CASICC,,,,,,,Undetermined,,,N2W7,,"6/15/2021, 4:53 AM",,,,,,,PR,1522,OSCC,,,,,,RIVER,,WF,FI,37.72044,-121.1491,,,,0,0,0,0,0,,000560,,,,San Joaquin,CATCCC,06077,FWS,CASJR,USFWS,Federal,,,,,,,SC05,FWS,CALUR,US-CA,,,,,,2021-CALUR-000560,No Decision,wildcad,wildcad,0,,,"6/15/2021, 7:10 PM","12/13/2021, 2:06 AM",IRWIN
,DEFAULT,2.7143,,,2.7,2.7,CASICC,,,,,,,Undetermined,,,N26L,,"6/18/2021, 7:51 PM",,,,,,,PR,1522,OSCC,,,,,,CASJR STRINGER,,WF,FI,37.68223,-121.2064,,,,0,1,0,0,1,,000583,,,,Stanislaus,CATCCC,06099,FWS,CASJR,USFWS,Federal,,,,,,,SC05,FWS,CALUR,US-CA,,,,,,2021-CALUR-000583,No Decision,wildcad,wildcad,0,,,"6/18/2021, 7:52 PM","12/13/2021, 2:05 AM",IRWIN
,DEFAULT,,,,11,0.1,ORBIC,,,,,,,Undetermined,Undetermined,,N4L5,,"7/2/2021, 4:53 AM",,,,,,,PN,1522,NWCC,,,,,,Blair - Wildhorse Ranch PVT burn,,WF,FI,42.51338,-118.5952,,"7/2/2021, 4:53 AM",,0,1,0,0,0,,002192,,,,Harney,ORBIC,41025,BLM,ORRFPA,Private,Private,,,,,,,NW12,C&L,ORRFPN,US-OR,Grass-Shrub,GS2,,,,2021-ORRFPN-002192,No Decision,wildcad,wildcad,0,,,"7/2/2021, 7:36 AM","12/7/2021, 6:49 PM",IRWIN
,DEFAULT,,,,109444,1,IDGVC,9498972,,Minimal,Creeping,Smoldering,Single Tree Torching,Undetermined,,,N5EJ,,"7/9/2021, 7:46 PM",Type 5 Incident,,,,,,PN,,NRCC,"8/20/2021, 2:00 AM","8/19/2021, 4:00 AM","8/20/2021, 2:00 AM",F,Type 5 IC,Snake River Complex,20 miles south of Lewiston ID,CX,FI,46.01192,-116.9107,,,,0,1,0,0,0,0,000604,100,100,,Nez Perce,IDGVC,16069,BLM,IDCWD,BLM,Federal,,,,,,,NR05,DL,IDCMS,US-ID,,,Short Grass (1 foot),Timber (Litter and Understory),5,2021-IDCMS-000604,No Decision,wildcad,wildcad,0,,,"7/9/2021, 7:52 PM","12/1/2021, 9:20 PM",IRWIN
EK2P,DEFAULT,,,,30,25,WACCC,,"11/19/2021, 1:56 AM",,,,,Undetermined,Other Human Cause,"Other, Unknown",,,"7/18/2021, 5:33 AM",,,,,,,P6,0622,NWCC,,,,,,CHENOWETH - MCFR Assist,,WF,FI,45.62949,-121.2319,30,"7/18/2021, 5:50 AM",0,0,0,0,0,0,,000583,,,,Wasco,ORCOC,41065,,,Private,Private,,,,,,,NW06,FS,ORCGF,US-OR,Grass,GR1,,,,2021-ORCGF-000583,No Decision,wildcad,wildcad,0,,,"7/18/2021, 6:26 PM","12/10/2021, 5:57 PM",IRWIN
,DEFAULT,,,,0.1,1,WACCC,,,,,,,Undetermined,Camping,,,,"7/20/2021, 4:38 AM",,,,,,,,,NWCC,,,,,,SIGNAL HILL - MCFR ASSIST,,WF,FI,45.62123,-121.1105,0.1,,,0,0,0,0,0,,000603,,,,Wasco,ORCOC,41065,,,Private,Private,,,,,,,NW06,FS,ORCGF,US-OR,,,,,,2021-ORCGF-000603,No Decision,wildcad,wildcad,0,,,"7/20/2021, 5:10 AM","12/10/2021, 7:10 PM",IRWIN
,DEFAULT,,,,22369.5,1,IDGVC,1765424,,Minimal,Single Tree Torching,Smoldering,Creeping,Undetermined,,,N6U4,,"7/25/2021, 8:41 PM",Type 4 Incident,,40,0,40,20,P1,0117,NRCC,"10/8/2021, 2:30 AM","10/1/2021, 2:30 AM","10/8/2021, 2:30 AM",F,Type 4 IC,Storm Theatre Complex ,"Back country area on the North Fork, Powell, and Locsha Ranger Districts",CX,FI,46.555515,-115.096913,,,,0,0,0,0,0,0,000742,100,10,,Idaho,IDGVC,16049,FS,IDNCF,USFS,Federal,,,,,,,NR03,FS,IDNCF,US-ID,,,Brush (2 feet),Timber (Litter and Understory),5,2021-IDNCF-000742,No Decision,wildcad,wildcad,0,,,"7/25/2021, 8:42 PM","11/30/2021, 7:48 PM",IRWIN
,ICS209,27679.3418,,,29356.25,1,OREIC,58198559,,,,,,Undetermined,,,,,"7/27/2021, 4:51 PM",,,,,,,,,NWCC,,,,,,Gales,,WF,FI,43.99332,-122.6131,2,,,0,0,0,0,0,0,210279,90,100,,Lane,OREIC,41039,FS,ORWIF,USFS,Federal,,,,,,,NW03,FS,ORWIF,US-OR,,,,,,2021-ORWIF-210279,Approved Decision,wildcad,ics209,0,Type 4 Incident,"10/7/2021, 11:57 PM","7/27/2021, 11:06 PM","12/11/2021, 12:39 AM",IRWIN
,ICS209,,,,30926.6,1,OREIC,0,,Minimal,Smoldering,Smoldering,Smoldering,Undetermined,,,N669,,"7/29/2021, 11:56 PM",Type 4 Incident,,,,,,P6,,NWCC,"12/11/2021, 12:30 AM","12/4/2021, 3:45 AM","12/11/2021, 12:30 AM",U,Type 4 IC,Middle Fork Complex,"9 miles N of Oakridge, OR",CX,FI,43.869292,-122.408533,,,,0,0,0,0,0,0,210307,90,77,Oakridge,Lane,OREIC,41039,FS,ORWIF,USFS,Federal,,,,,,,NW04,FS,ORWIF,US-OR,,,Timber (Grass and Understory),Timber (Litter and Understory),13,2021-ORWIF-210307,No Decision,wildcad,ics209,0,,,"7/29/2021, 11:57 PM","12/11/2021, 12:39 AM",IRWIN
,ICS209,,,,50564.25,1,ORRICC,0,,Minimal,Smoldering,Smoldering,Short-range Spotting,Undetermined,,,N68U,,"7/30/2021, 6:55 AM",Type 4 Incident,,,,,,P6,0615,NWCC,"11/29/2021, 10:00 PM","11/10/2021, 10:00 PM","11/29/2021, 10:00 PM",F,Type 4 IC,Rough Patch Complex,Calapooya Divide,CX,FI,43.510483,-122.675989,,,,0,0,1,1,0,0,000373,100,99,Cottage Grove,Lane,ORRICC,41039,FS,ORUPF,USFS,Federal,Willamette,,,2E,3,24S,NW04,FS,ORUPF,US-OR,,,Closed Timber Litter,Timber (Litter and Understory),46,2021-ORUPF-000373,No Decision,wildcad,ics209,0,,,"7/30/2021, 6:56 AM","11/29/2021, 10:26 PM",IRWIN
,DEFAULT,223188.2964,,,223124,0.1,CARICC,163739291,,Minimal,Smoldering,Smoldering,Backing,Natural,,,N7GJ,,"7/31/2021, 4:10 AM",Type 3 Incident,,0,100,0,0,P5,0514,ONCC,"10/26/2021, 3:30 AM","10/25/2021, 4:00 PM","10/26/2021, 3:30 AM",F,Type 3 Team,MONUMENT,"Del Loma, CA near Monument Peak",WF,FI,40.75228,-123.3367,,,,0,0,1,0,0,0,001187,100,100,"Del Loma, CA",Trinity,CARICC,06105,FS,CASHF,USFS,Federal,Humboldt,,,7E,1,4N,NC04,FS,CASHF,US-CA,,,Timber (Grass and Understory),Timber (Litter and Understory),74,2021-CASHF-001187,Approved Decision,wildcad,wfdss,0,Type 5 Incident,"10/22/2021, 12:42 AM","7/31/2021, 4:51 AM","11/29/2021, 9:21 PM",IRWIN
,DEFAULT,,,,70110.05,1,ORRICC,0,,Minimal,Backing,Creeping,Smoldering,Undetermined,,,N7ND,,"8/3/2021, 6:03 PM",Type 4 Incident,,,,,,P6,0615,NWCC,"11/11/2021, 1:00 AM","10/29/2021, 11:30 PM","11/11/2021, 1:00 AM",F,Type 4 IC,Devils Knob Complex,Fires span across the entire Tiller Ranger District,CX,FI,43.10283,-122.875,,,,0,0,0,0,0,0,000450,100,100,Milo/Tiller,Douglas,ORRICC,41019,FS,ORUPF,USFS,Federal,Willamette,,,.,1,.,NW04,FS,ORUPF,US-OR,,,Timber (Litter and Understory),Timber (Grass and Understory),184,2021-ORUPF-000450,No Decision,wildcad,wildcad,0,,,"8/3/2021, 6:03 PM","12/1/2021, 1:12 AM",IRWIN
,DEFAULT,88255.6968,,,80102.75,2,CASQCC,56666667,,Active,Uphill Runs,,,Natural,,,N9RE,,"9/10/2021, 5:20 PM",Type 2 Incident,,0,100,0,0,,,OSCC,"9/13/2021, 11:30 PM","9/13/2021, 2:00 PM","9/13/2021, 11:30 PM",F,Type 2 Team,Colony,KNP,WF,FI,36.56688,-118.8115,2,,,0,1,0,0,0,0,000116,75,100,,Tulare,CASQCC,06107,NPS,CAKNP,NPS,Federal,San Bernardino,,,29e,2,16s,SC03,NPS,CAKNP,US-CA,,,Timber (Grass and Understory),Timber (Litter and Understory),,2021-CAKNP-000116,Approved Decision,wildcad,ics209,0,Type 5 Incident,"12/7/2021, 7:20 AM","9/10/2021, 7:26 PM","12/12/2021, 1:20 AM",IRWIN
,DEFAULT,8204.4688,,,8203,0.5,CASQCC,56666667,,Active,Uphill Runs,Backing,Uphill Runs,Natural,,,N9RT,,"9/10/2021, 9:22 PM",Type 2 Incident,,0,100,0,0,,,OSCC,"9/14/2021, 1:30 AM","9/13/2021, 4:00 PM","9/14/2021, 1:30 AM",F,Type 3 IC,Paradise,Sequoia National Park,WF,FI,36.50725,-118.7675,,,,0,1,0,0,0,0,000118,0,100,Three Rivers,Tulare,CASQCC,06107,NPS,CAKNP,NPS,Federal,,,,,,,SC03,NPS,CAKNP,US-CA,,,Timber (Litter and Understory),Brush (2 feet),26,2021-CAKNP-000118,No Decision,wildcad,ics209,0,,,"9/10/2021, 10:11 PM","12/12/2021, 1:20 AM",IRWIN
,DEFAULT,,,,3.2,1,MTHDC,,,,,,,Human,Other Human Cause,Fireworks (Consumer or Personal Use),,05001,"9/12/2021, 12:22 AM",,,,,,,,,NRCC,,,,,,Knob Hill,,WF,FI,46.5758,-111.9849,,,,0,0,0,0,0,,000482,,,,Lewis and Clark,MTHDC,30049,,,City,Other,,,,,,,NR11,C&L,MTLG05,US-MT,Timber,TL3,,,,2021-MTLG05-000482,No Decision,wildcad,INFORM_Inspector,0,,,"9/12/2021, 1:18 AM","12/10/2021, 10:02 PM",IRWIN
,DEFAULT,,,,88307,1,CASQCC,170000000,,Minimal,Creeping,Smoldering,Uphill Runs,Undetermined,,,N9UH,,"9/12/2021, 5:35 AM",Type 5 Incident,,,,,,PP,1522,OSCC,"12/12/2021, 12:30 AM","12/11/2021, 12:30 AM","12/12/2021, 12:30 AM",U,Type 5 IC,KNP Complex,"25 miles east of Visalia, California.",CX,FI,36.581677,-118.794833,,,,0,0,0,0,0,0,000122,80,100,Three Rivers,Tulare,CASQCC,06107,NPS,CAKNP,NPS,Federal,,,,,,,SC03,NPS,CAKNP,US-CA,,,Timber (Litter and Understory),Brush (2 feet),1,2021-CAKNP-000122,No Decision,wildcad,ics209,0,,,"9/12/2021, 5:37 AM","12/12/2021, 1:20 AM",IRWIN
,DEFAULT,,,,420,1,UTMFC,,,,,,,Undetermined,,,,,"2/10/2021, 5:01 PM",,,,,,,,,GBCC,,,,,,Cottonwood Ridge RX,,RX,FI,39.71218,-110.1596,,,,0,0,0,0,0,,000011,,,,Carbon,UTMFC,49007,BLM,UTMOD,BLM,Federal,,,,,,,GB31,BLM,UTVLD,US-UT,,,,,,2021-UTVLD-000011,No Decision,wildcad,wildcad,0,,,"9/24/2021, 6:09 PM","11/29/2021, 10:49 PM",IRWIN
,DEFAULT,,,,1901,1,TNTNC,,,,,,,Undetermined,,,,,"6/16/2021, 5:42 PM",,,,,,,,,SACC,,,,,,RX - Cow Camp,,RX,FI,35.42961,-84.06229,1901,,,0,0,0,0,0,,000179,,,,Monroe,TNTNC,47123,FS,TNCNF,USFS,Federal,,,,,,,SA25B,FS,TNCNF,US-TN,,,,,,2021-TNCNF-000179,No Decision,wildcad,wildcad,0,,,"9/29/2021, 8:25 PM","12/3/2021, 12:59 AM",IRWIN
EKT3,ICS209,1364.7572,,,1379,1,MTGDC,2950000,,Minimal,Creeping,Smoldering,Smoldering,Undetermined,,,PA6L,,"10/4/2021, 10:49 PM",Type 4 Incident,,0,100,0,0,P1,0115,NRCC,"12/10/2021, 1:00 AM","12/3/2021, 2:00 AM","12/10/2021, 1:00 AM",U,Type 4 IC,Crown Mountain,"15 mile SW of Augusta, MT",WF,FI,47.37994,-112.7664,1.5,,,0,1,0,0,0,0,005149,80,100,"Augusta, MT",Lewis and Clark,MTGDC,30049,FS,MTHLF,USFS,Federal,,,,,,,NR07,FS,MTHLF,US-MT,,,Timber (Litter and Understory),Timber (Grass and Understory),1,2021-MTHLF-005149,Approved Decision,wildcad,ics209,0,Type 4 Incident,"10/26/2021, 7:42 PM","10/4/2021, 11:47 PM","12/10/2021, 1:22 AM",IRWIN
,DEFAULT,,,,145,1,UTMFC,,,,,,,Undetermined,,,,,"10/14/2021, 5:03 PM",,,,,,,,,GBCC,,,,,,NZ Timber Piles RX,,RX,FI,39.61339,-111.1866,,,,0,0,0,0,0,,000545,,,,Sanpete,UTMFC,49039,FS,UTMLF,USFS,Federal,,,,,,,GB30,FS,UTMLF,US-UT,,,,,,2021-UTMLF-000545,No Decision,wildcad,wildcad,0,,,"10/14/2021, 5:04 PM","12/7/2021, 5:56 PM",IRWIN
,DEFAULT,,,,1711,1,TNTNC,,,,,,,Undetermined,,,,,"3/30/2021, 4:54 PM",,,,,,,,,SACC,,,,,,RX - Thornburg,,RX,FI,35.11411,-84.6155,1000,,,0,0,0,0,0,,000095,,,,Polk,TNTNC,47139,FS,TNCNF,USFS,Federal,,,,,,,SA25B,FS,TNCNF,US-TN,,,,,,2021-TNCNF-000095,No Decision,wildcad,wildcad,0,,,"10/18/2021, 4:10 PM","12/4/2021, 4:36 PM",IRWIN
,DEFAULT,,,,125,1,MSMIC,,,,,,,Undetermined,,,,,"10/19/2021, 4:33 PM",,,,,,,,,SACC,,,,,,DE SOTO Site Prep CPT16-19,,RX,FI,31.02323,-88.88161,125,,,0,0,0,0,0,,000323,,,,Perry,MSMIC,28111,FS,MSMNF,USFS,Federal,,,,,,,SA22A,FS,MSMNF,US-MS,,,,,,2021-MSMNF-000323,No Decision,wildcad,wildcad,0,,,"10/19/2021, 5:33 PM","12/3/2021, 8:26 PM",IRWIN
,DEFAULT,,,,622.7,1,MTLEC,,,,,,,Undetermined,,,,17030,"8/8/2021, 11:05 PM",,,,,,,,,NRCC,,,,,,MTLG17-2021-548,,WF,FI,48.26895,-104.38963,622.68,,,0,0,0,0,0,,000548,,,,Roosevelt,MTLEC,30085,C&L,MTLG17,Private,Private,,,,,,,NR15,C&L,MTLG17,US-MT,Grass,GR2,,,,2021-MTLG17-000548,No Decision,wildcad,wildcad,0,,,"10/21/2021, 1:13 AM","12/8/2021, 5:34 PM",IRWIN
,DEFAULT,,,,391,1,FLFIC,,,,,,,Undetermined,,,,,"11/3/2021, 3:03 PM",,,,,,,,,SACC,,,,,,BU 198 Chipola Tract,,RX,FI,30,-84.99987,908,,,0,0,0,0,0,,000758,,,,Calhoun,FLFIC,12013,FS,FLFNF,USFS,Federal,,,,,,,SA43,FS,FLFNF,US-FL,,,,,,2021-FLFNF-000758,No Decision,wildcad,wildcad,0,,,"11/3/2021, 10:31 PM","12/8/2021, 8:54 PM",IRWIN
,DEFAULT,,,,214,1,FLFIC,,,,,,,Undetermined,,,,,"11/4/2021, 3:06 PM",,,,,,,,,SACC,,,,,,BU 198 Chipola Tract 1104,,RX,FI,30.40677,-85.25896,512,,,0,0,0,0,0,,000760,,,,Calhoun,FLFIC,12013,FS,FLFNF,USFS,Federal,,,,,,,SA43,FS,FLFNF,US-FL,,,,,,2021-FLFNF-000760,No Decision,wildcad,wildcad,0,,,"11/4/2021, 3:09 PM","12/8/2021, 8:53 PM",IRWIN
,DEFAULT,,,,100,1,UTNUC,,,,,,,Undetermined,,,,,"11/4/2021, 8:55 PM",,,,,,,,,GBCC,,,,,,Shingle Mill Piles,,RX,FI,40.47693,-111.1568,,,,0,1,0,0,0,,000956,,,,Wasatch,UTNUC,49051,FS,UTUWF,USFS,Federal,,,,,,,GB26,FS,UTUWF,US-UT,,,,,,2021-UTUWF-000956,No Decision,wildcad,wildcad,0,,,"11/5/2021, 1:40 AM","12/13/2021, 1:31 AM",IRWIN
,DEFAULT,,,,315,1,UTMFC,,,,,,,Undetermined,,,,,"11/8/2021, 5:37 PM",,,,,,,,,GBCC,,,,,,Shingle Mill RX,,RX,FI,37.8141,-109.4193,,,,0,0,0,0,0,,000558,,,,San Juan,UTMFC,49037,FS,UTMLF,USFS,Federal,,,,,,,GB32,FS,UTMLF,US-UT,,,,,,2021-UTMLF-000558,No Decision,wildcad,wildcad,0,,,"11/8/2021, 9:37 PM","12/3/2021, 9:29 PM",IRWIN
,DEFAULT,,,,55,1,UTRFC,,,,,,,Undetermined,,,,,"11/12/2021, 6:18 PM",,,,,,,,,GBCC,,,,,,Signal Peak RX,,RX,FI,38.61678,-111.9581,,,,0,0,0,0,0,,210554,,,,Sevier,UTRFC,49041,FS,UTFIF,USFS,Federal,,,,,,,GB28,FS,UTFIF,US-UT,,,,,,2021-UTFIF-210554,No Decision,wildcad,wildcad,0,,,"11/12/2021, 6:34 PM","12/6/2021, 1:12 AM",IRWIN
,DEFAULT,,,,168,1,MTMDC,,,,,,,Undetermined,,,,,"11/4/2021, 3:55 PM",,,,,,,,,NRCC,,,,,,Rx Camelflage Timber Sale Landing ,,RX,FI,47.35012,-115.2611,20,,,0,0,0,0,0,,001849,,,,Mineral,MTMDC,30061,FS,MTLNF,USFS,Federal,,,,,,,NR04,FS,MTLNF,US-MT,,,,,,2021-MTLNF-001849,No Decision,wildcad,wildcad,0,,,"11/16/2021, 6:36 PM","12/6/2021, 10:24 PM",IRWIN
